year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2009,,,0.0,-0.26338193153541134,1.8150487691995343,-2.5845462503054195,-4.5779690393345955,6.012816008415256,0.512509569909203,-3.9040527735044517,1.7925013244202148,-7.712033814333541,-9.199645129050115
2010,-0.5573761462278171,-1.92127620850292,-1.6451165304925408,-1.2361003779468804,0.4382487199691143,4.5038340273103605,-5.096299625608413,-0.9073412119670388,-2.4990492287217836,-3.007643882188782,-2.350034171991766,5.222208080819701,-9.129401465066532
2011,-1.7666112141137114,-5.905931562991107,3.0188229043806913,1.011118860571103,2.042544535795199,0.4145545245367144,1.0447500870142568,-2.0715358602984013,0.8209076865579368,3.898983175568027,-0.45282016480134857,5.380949757845288,7.166920423331669
2012,1.3438141380472057,-0.8101037532135091,0.606813019686947,-3.2330026536596668,-5.318421670287698,1.5184916665319959,7.994294408630687,4.677026782874449,-1.1264160069365259,-0.8904720214183315,-2.2265121386812137,-7.5494019192541835,-5.80915539811614
2013,0.1137512038713373,2.909536591199413,-0.9035114721934301,3.017136590545877,3.261491512885306,-0.6005069005430408,1.2962922029519985,-2.919058782875472,0.6074144382374413,-2.0073646840241377,-1.291804709341171,-0.9830964417507082,2.2947076299751457
2014,2.53432284655406,0.9233042145431858,-0.26462081136672255,3.891671588919632,-4.5873320246945015,3.855968815717903,0.8102038846739212,-1.2679525141488512,0.9019056554333105,0.5111741153917437,-3.576531858492782,-0.211521887843924,3.197150448737718
2015,-1.6335887973632057,0.2823497319835333,-2.5316583985740437,-2.169690248984757,3.7790965340096294,2.1122676444287336,5.396993241148884,4.225396242534707,0.4818143045058232,3.378206137560835,-0.9959961490637825,0.9855717651596541,13.71728006204802
2016,-1.8366799141709356,2.441650829645181,4.173145778093446,0.5736800910876028,-4.1211915978623175,2.0331636572757494,1.08189236764058,9.785677693494566,-2.2542671270774695,-1.7882586451696603,0.30243055150531717,2.9481989829024835,13.381027463597995
2017,2.4650308439489566,5.343652654447872,0.2962269738226553,1.3960724315684292,2.5481286541607417,1.2822879255520059,-3.055786149634876,0.17430691459865422,-7.220691192432859,-3.995715673819067,-0.37679622655254486,5.4712324393757505,3.6252356381303974
2018,-4.539218120829802,-3.3887557067653784,0.7092870418599517,11.15976348757377,-3.9196515522863518,-1.0210060200719795,-4.202282654663936,0.062090827574246,1.1577035854132056,2.798080504189948,1.831795564077776,5.8411966697726525,5.485859882754496
2019,0.6590522612527128,5.557081298487598,6.640073303739502,-1.1086492112699742,-2.8161948708845697,-11.866469014436575,-3.0605750133513188,-0.7204185164071508,8.285799176476672,-10.202291064685475,-3.6731149932747287,5.36759132638942,-8.839702875591938
2020,-36.35927644662085,-25.491450383260748,4.755855711287915,1.4822732761042845,6.255953968854855,-0.7063773664064299,-4.431065921064903,-2.835636661133001,1.700791648762423,1.8949929701887802,2.8166563493932983,3.420270241453105,-45.580516199608454
2021,3.027200750261283,-2.4877858948573084,2.033546608439507,3.124953941858477,3.5178711564589626,1.080937969964002,-2.099848494403689,1.8818964890123802,-8.884967481515883,4.511240388547821,4.025721321216591,1.4170168412676043,10.837635464941675
2022,11.910452309003027,5.768158334105267,-2.531521780378443,-7.339557072134973,0.568248511508318,-1.8047396658051884,3.276552599490201,1.5435246966933214,3.5175234074885653,-2.3544710928996793,-0.1617757984273993,-2.6370998864461925,8.779263647410907
2023,2.911446847129473,2.394389408979336,-4.302888891954304,1.8027859443239924,-0.44701498477469626,-0.8446065459943641,-1.8314615345992213,3.0339055834517348,-2.790534676572798,3.66287053964911,-4.78468339303414,2.9965470054565513,1.2937659350533925
